files,labels,preds,ablated_scene_preds,audio_tags_org,audio_tags_ablated
audio/airport-barcelona-203-6122-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'park', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Vehicle', 'Hubbub, speech noise, speech babble']","[['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Horse', 'Clip-clop', 'Animal', 'Neigh, whinny', 'Vehicle'], ['Speech', 'Horse', 'Clip-clop', 'Animal', 'Neigh, whinny'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Outside, urban or manmade', 'Run'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Vehicle'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Horse', 'Clip-clop', 'Animal', 'Neigh, whinny'], ['Speech', 'Horse', 'Clip-clop', 'Animal', 'Neigh, whinny'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Horse', 'Clip-clop']]"
audio/airport-barcelona-203-6123-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'street_traffic', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Vehicle', 'Hubbub, speech noise, speech babble', 'Traffic noise, roadway noise']","[['Speech', 'Animal', 'Clip-clop', 'Horse', 'Bird'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Duck'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Duck', 'Vehicle'], ['Fowl', 'Speech', 'Animal', 'Turkey', 'Gobble', 'Duck'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Horse', 'Fowl', 'Clip-clop', 'Vehicle'], ['Speech', 'Animal', 'Vehicle', 'Fowl'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal']]"
audio/airport-barcelona-203-6124-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'park', 'metro_station', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport', 'airport']","['Speech', 'Boat, Water vehicle', 'Vehicle', 'Sailboat, sailing ship', 'Wind noise (microphone)', 'Wind', 'Ship', 'Ocean', 'Waves, surf']","[['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse']]"
audio/airport-barcelona-203-6125-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'park', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Hubbub, speech noise, speech babble', 'Animal', 'Vehicle']","[['Speech', 'Animal', 'Bird', 'Horse'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Bird'], ['Speech', 'Animal', 'Horse', 'Bird', 'Clip-clop'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Bird'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse']]"
audio/airport-barcelona-203-6126-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'metro_station', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Vehicle', 'Hubbub, speech noise, speech babble', 'Outside, urban or manmade', 'Run', 'Music']","[['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Run', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Outside, urban or manmade']]"
audio/airport-barcelona-203-6127-a.wav,airport,airport,"['street_pedestrian', 'park', 'park', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'public_square']","['Speech', 'Hubbub, speech noise, speech babble', 'Vehicle', 'Outside, urban or manmade', 'Run']","[['Speech', 'Animal', 'Outside, urban or manmade', 'Run', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Run', 'Horse', 'Outside, urban or manmade', 'Vehicle'], ['Speech', 'Run', 'Outside, urban or manmade', 'Vehicle', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Run', 'Vehicle', 'Outside, urban or manmade', 'Horse'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Horse', 'Clip-clop'], ['Speech', 'Outside, urban or manmade', 'Run', 'Animal'], ['Speech', 'Run', 'Outside, urban or manmade', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse', 'Run'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Vehicle', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Clip-clop', 'Horse']]"
audio/airport-barcelona-203-6128-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'park', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Vehicle', 'Fire', 'Outside, urban or manmade', 'Run', 'Boat, Water vehicle', 'Car']","[['Speech', 'Animal', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Run', 'Animal', 'Vehicle', 'Clip-clop', 'Outside, urban or manmade'], ['Speech', 'Run', 'Vehicle', 'Animal', 'Outside, urban or manmade', 'Bicycle'], ['Speech', 'Run', 'Vehicle', 'Outside, urban or manmade', 'Animal'], ['Speech', 'Vehicle', 'Run', 'Outside, urban or manmade', 'Fire'], ['Speech', 'Vehicle', 'Fire', 'Boat, Water vehicle', 'Run', 'Bicycle'], ['Speech', 'Vehicle', 'Run', 'Animal', 'Clip-clop', 'Fire', 'Outside, urban or manmade'], ['Speech', 'Vehicle', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Animal', 'Fire'], ['Speech', 'Run', 'Animal', 'Clip-clop', 'Vehicle', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Run'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Vehicle', 'Horse', 'Run', 'Fire'], ['Speech', 'Animal', 'Vehicle', 'Clip-clop', 'Horse', 'Run'], ['Speech', 'Animal', 'Clip-clop', 'Run', 'Vehicle', 'Horse', 'Outside, urban or manmade']]"
audio/airport-barcelona-203-6129-a.wav,airport,airport,"['street_pedestrian', 'park', 'park', 'park', 'park', 'metro_station', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Vehicle', 'Traffic noise, roadway noise']","[['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Vehicle', 'Run'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Vehicle'], ['Speech', 'Clip-clop', 'Vehicle', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Vehicle', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Vehicle', 'Animal'], ['Speech', 'Clip-clop', 'Animal', 'Vehicle', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal']]"
audio/airport-barcelona-203-6130-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'metro_station', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Animal']","[['Speech', 'Arrow', 'Animal'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Arrow'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Arrow', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Arrow', 'Clip-clop'], ['Speech', 'Animal', 'Arrow', 'Whip'], ['Speech', 'Arrow', 'Whip'], ['Speech', 'Whip', 'Arrow'], ['Speech', 'Animal', 'Arrow']]"
audio/airport-barcelona-203-6131-a.wav,airport,airport,"['shopping_mall', 'park', 'park', 'park', 'park', 'park', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'airport']","['Speech', 'Hubbub, speech noise, speech babble', 'Vehicle', 'Music', 'Outside, urban or manmade']","[['Speech', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Vehicle', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Outside, urban or manmade', 'Run'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Outside, urban or manmade']]"
