acoustic_scene_label,audio_fileNames,feat_ablation_preds,scene_events,feat_ablation_events
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_7.wav,"['tubestation', 'bus', 'office', 'busystreet', 'office', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Music', 'Laughter', 'Cough', 'Speech', 'Snicker', 'Giggle', 'Baby laughter', 'Throat clearing', 'Chuckle, chortle', 'Belly laugh']","[['Music', 'Laughter', 'Speech', 'Cough', 'Snicker', 'Giggle', 'Chuckle, chortle', 'Baby laughter', 'Belly laugh', 'Throat clearing', 'Inside, small room'], ['Laughter', 'Music', 'Snicker', 'Speech', 'Cough', 'Chuckle, chortle', 'Giggle', 'Fowl', 'Baby laughter'], ['Music', 'Laughter', 'Snicker', 'Speech', 'Baby laughter', 'Giggle', 'Chuckle, chortle', 'Cough', 'Sine wave', 'Inside, small room'], ['Music', 'Laughter', 'Cough', 'Giggle', 'Baby laughter', 'Snicker', 'Belly laugh', 'Throat clearing', 'Speech', 'Chuckle, chortle']]"
bus,../audioData/sythenticSoundscenes/test/bus10_downshift_2.wav,"['tubestation', 'park', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Telephone bell ringing', 'Cough', 'Laughter', 'Alarm clock', 'Chicken, rooster', 'Inside, small room', 'Snicker', 'Telephone']","[['Speech', 'Cough', 'Music', 'Telephone bell ringing', 'Laughter', 'Giggle', 'Telephone', 'Alarm clock', 'Snicker', 'Fart', 'Inside, small room', 'Chuckle, chortle'], ['Speech', 'Music', 'Cough', 'Laughter', 'Telephone bell ringing', 'Chicken, rooster', 'Alarm clock', 'Bird', 'Fowl'], ['Laughter', 'Music', 'Cough', 'Speech', 'Snicker', 'Baby laughter', 'Giggle', 'Belly laugh'], ['Speech', 'Laughter', 'Cough', 'Telephone bell ringing', 'Music', 'Snicker', 'Inside, small room', 'Giggle', 'Alarm clock']]"
bus,../audioData/sythenticSoundscenes/test/bus4_upshift_0.wav,"['tubestation', 'bus', 'park', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Child speech, kid speaking', 'Children playing', 'Inside, small room']","[['Speech', 'Music', 'Child speech, kid speaking', 'Inside, small room', 'Children playing'], ['Speech', 'Music'], ['Speech', 'Music', 'Child speech, kid speaking', 'Vehicle', 'Children playing', 'Inside, small room'], ['Speech', 'Music', 'Inside, small room', 'Child speech, kid speaking']]"
bus,../audioData/sythenticSoundscenes/test/bus4_5.wav,"['tubestation', 'tube', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Keys jangling', 'Coin (dropping)', 'Telephone']","[['Speech', 'Music', 'Coin (dropping)', 'Cash register', 'Keys jangling', 'Telephone'], ['Speech', 'Telephone bell ringing', 'Bicycle bell', 'Music', 'Telephone'], ['Speech', 'Music', 'Coin (dropping)', 'Keys jangling', 'Vehicle', 'Telephone'], ['Speech', 'Music', 'Coin (dropping)', 'Telephone', 'Keys jangling', 'Telephone bell ringing']]"
bus,../audioData/sythenticSoundscenes/test/bus3_upshift_4.wav,"['tubestation', 'bus', 'office', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Car alarm', 'Laughter', 'Police car (siren)', 'Emergency vehicle', 'Siren', 'Ambulance (siren)', 'Music', 'Baby laughter', 'Inside, small room', 'Giggle', 'Snicker']","[['Speech', 'Laughter', 'Car alarm', 'Ambulance (siren)', 'Police car (siren)', 'Emergency vehicle', 'Baby laughter', 'Siren', 'Giggle', 'Music', 'Belly laugh', 'Child speech, kid speaking', 'Snicker', 'Inside, small room', 'Chuckle, chortle', 'Boing'], ['Car alarm', 'Police car (siren)', 'Speech', 'Emergency vehicle', 'Siren', 'Ambulance (siren)', 'Music', 'Laughter', 'Boing'], ['Speech', 'Car alarm', 'Ambulance (siren)', 'Emergency vehicle', 'Police car (siren)', 'Siren', 'Laughter', 'Music', 'Baby laughter', 'Giggle', 'Inside, small room'], ['Car alarm', 'Speech', 'Laughter', 'Baby laughter', 'Music', 'Police car (siren)', 'Siren', 'Emergency vehicle', 'Ambulance (siren)', 'Giggle', 'Belly laugh', 'Boing', 'Snicker', 'Inside, small room']]"
bus,../audioData/sythenticSoundscenes/test/bus2_downshift_1.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'quietstreet', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing', 'Telephone', 'Music', 'Vehicle', 'Inside, small room']","[['Speech', 'Telephone bell ringing', 'Telephone', 'Music', 'Inside, small room', 'Vehicle'], ['Speech', 'Telephone bell ringing', 'Telephone', 'Machine gun', 'Gunshot, gunfire', 'Vehicle'], ['Speech', 'Vehicle', 'Music', 'Telephone bell ringing', 'Machine gun'], ['Speech', 'Telephone bell ringing', 'Telephone', 'Music', 'Vehicle']]"
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_2.wav,"['tubestation', 'bus', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Telephone bell ringing', 'Telephone', 'Giggle', 'Laughter', 'Baby laughter', 'Ringtone', 'Child speech, kid speaking', 'Inside, small room', 'Alarm clock', 'Belly laugh']","[['Speech', 'Music', 'Telephone bell ringing', 'Telephone', 'Giggle', 'Baby laughter', 'Inside, small room', 'Laughter', 'Alarm clock', 'Child speech, kid speaking', 'Ringtone', 'Television', 'Belly laugh'], ['Speech', 'Music', 'Giggle', 'Laughter', 'Baby laughter', 'Telephone bell ringing', 'Ringtone', 'Telephone', 'Inside, small room', 'Alarm clock', 'Belly laugh', 'Child speech, kid speaking', 'Snicker'], ['Speech', 'Music', 'Telephone bell ringing', 'Giggle', 'Telephone', 'Baby laughter', 'Child speech, kid speaking', 'Laughter', 'Inside, small room', 'Ringtone', 'Belly laugh'], ['Speech', 'Music', 'Giggle', 'Telephone bell ringing', 'Laughter', 'Telephone', 'Baby laughter', 'Inside, small room', 'Belly laugh', 'Alarm clock', 'Child speech, kid speaking', 'Ringtone', 'Snicker']]"
bus,../audioData/sythenticSoundscenes/test/bus9_9.wav,"['tubestation', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing', 'Music', 'Telephone', 'Bicycle bell', 'Alarm clock', 'Throat clearing', 'Cough']","[['Speech', 'Telephone bell ringing', 'Telephone', 'Cough', 'Music', 'Throat clearing', 'Inside, small room'], ['Speech', 'Telephone bell ringing', 'Telephone', 'Bicycle bell', 'Music'], ['Speech', 'Music', 'Telephone bell ringing', 'Cough', 'Bicycle bell', 'Vehicle', 'Throat clearing', 'Telephone'], ['Speech', 'Telephone bell ringing', 'Music', 'Bicycle bell', 'Telephone', 'Cough']]"
bus,../audioData/sythenticSoundscenes/test/bus1_downshift_4.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'bus', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Inside, small room', 'Vehicle', 'Bird', 'Musical instrument', 'Car']","[['Speech', 'Music', 'Inside, small room', 'Musical instrument', 'Smoke detector, smoke alarm', 'Guitar', 'Vehicle', 'Television'], ['Speech', 'Music', 'Inside, small room'], ['Speech', 'Music', 'Vehicle', 'Car', 'Inside, small room', 'Effects unit', 'Outside, urban or manmade'], ['Speech', 'Music', 'Vehicle', 'Inside, small room', 'Car', 'Musical instrument', 'Guitar']]"
bus,../audioData/sythenticSoundscenes/test/bus7_6.wav,"['tubestation', 'bus', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Vehicle', 'Music', 'Telephone', 'Outside, urban or manmade']","[['Speech', 'Music', 'Telephone', 'Telephone bell ringing', 'Coin (dropping)', 'Vehicle', 'Telephone dialing, DTMF'], ['Speech', 'Music', 'Vehicle', 'Telephone bell ringing', 'Telephone'], ['Speech', 'Vehicle', 'Car', 'Music', 'Outside, urban or manmade'], ['Speech', 'Vehicle', 'Car', 'Telephone bell ringing', 'Telephone', 'Music', 'Outside, urban or manmade', 'Telephone dialing, DTMF']]"
