acoustic_scene_label,audio_fileNames,feat_ablation_preds,scene_events,feat_ablation_events
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_7.wav,"['tubestation', 'bus', 'office', 'busystreet', 'office', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Music', 'Laughter', 'Cough', 'Speech', 'Snicker']","[['Music', 'Laughter', 'Speech', 'Cough', 'Snicker', 'Giggle'], ['Laughter', 'Music', 'Snicker', 'Speech', 'Cough'], ['Music', 'Laughter', 'Snicker', 'Speech'], ['Music', 'Laughter', 'Cough', 'Giggle']]"
bus,../audioData/sythenticSoundscenes/test/bus10_downshift_2.wav,"['tubestation', 'park', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Telephone bell ringing', 'Cough', 'Laughter']","[['Speech', 'Cough', 'Music', 'Telephone bell ringing', 'Laughter'], ['Speech', 'Music', 'Cough', 'Laughter'], ['Laughter', 'Music', 'Cough', 'Speech'], ['Speech', 'Laughter', 'Cough', 'Telephone bell ringing', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus4_upshift_0.wav,"['tubestation', 'bus', 'park', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music']","[['Speech', 'Music', 'Child speech, kid speaking'], ['Speech', 'Music'], ['Speech', 'Music'], ['Speech', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus4_5.wav,"['tubestation', 'tube', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Keys jangling']","[['Speech', 'Music', 'Coin (dropping)'], ['Speech'], ['Speech', 'Music', 'Coin (dropping)'], ['Speech', 'Music', 'Coin (dropping)']]"
bus,../audioData/sythenticSoundscenes/test/bus3_upshift_4.wav,"['tubestation', 'bus', 'office', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Car alarm', 'Laughter', 'Police car (siren)', 'Emergency vehicle', 'Siren', 'Ambulance (siren)', 'Music']","[['Speech', 'Laughter', 'Car alarm', 'Ambulance (siren)', 'Police car (siren)', 'Emergency vehicle', 'Baby laughter', 'Siren'], ['Car alarm', 'Police car (siren)', 'Speech', 'Emergency vehicle', 'Siren', 'Ambulance (siren)'], ['Speech', 'Car alarm', 'Ambulance (siren)', 'Emergency vehicle', 'Police car (siren)', 'Siren', 'Laughter', 'Music', 'Baby laughter'], ['Car alarm', 'Speech', 'Laughter', 'Baby laughter', 'Music', 'Police car (siren)']]"
bus,../audioData/sythenticSoundscenes/test/bus2_downshift_1.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'quietstreet', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing', 'Telephone', 'Music']","[['Speech', 'Telephone bell ringing', 'Telephone', 'Music'], ['Speech', 'Telephone bell ringing', 'Telephone', 'Machine gun'], ['Speech', 'Vehicle', 'Music'], ['Speech', 'Telephone bell ringing', 'Telephone']]"
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_2.wav,"['tubestation', 'bus', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Telephone bell ringing', 'Telephone', 'Giggle', 'Laughter', 'Baby laughter', 'Ringtone', 'Child speech, kid speaking', 'Inside, small room']","[['Speech', 'Music', 'Telephone bell ringing', 'Telephone', 'Giggle', 'Baby laughter', 'Inside, small room', 'Laughter', 'Alarm clock', 'Child speech, kid speaking'], ['Speech', 'Music', 'Giggle', 'Laughter', 'Baby laughter', 'Telephone bell ringing', 'Ringtone', 'Telephone'], ['Speech', 'Music', 'Telephone bell ringing', 'Giggle', 'Telephone', 'Baby laughter', 'Child speech, kid speaking', 'Laughter', 'Inside, small room'], ['Speech', 'Music', 'Giggle', 'Telephone bell ringing', 'Laughter', 'Telephone', 'Baby laughter', 'Inside, small room']]"
bus,../audioData/sythenticSoundscenes/test/bus9_9.wav,"['tubestation', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing', 'Music']","[['Speech', 'Telephone bell ringing', 'Telephone', 'Cough'], ['Speech', 'Telephone bell ringing', 'Telephone'], ['Speech', 'Music', 'Telephone bell ringing'], ['Speech', 'Telephone bell ringing', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus1_downshift_4.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'bus', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Inside, small room']","[['Speech', 'Music', 'Inside, small room'], ['Speech', 'Music'], ['Speech', 'Music', 'Vehicle'], ['Speech', 'Music', 'Vehicle', 'Inside, small room']]"
bus,../audioData/sythenticSoundscenes/test/bus7_6.wav,"['tubestation', 'bus', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Vehicle', 'Music']","[['Speech', 'Music', 'Telephone', 'Telephone bell ringing'], ['Speech', 'Music', 'Vehicle'], ['Speech', 'Vehicle', 'Car', 'Music'], ['Speech', 'Vehicle', 'Car']]"
