acoustic_scene_label,audio_fileNames,feat_ablation_preds,scene_events,feat_ablation_events
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_7.wav,"['tubestation', 'bus', 'office', 'busystreet', 'office', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Music', 'Laughter']","[['Music', 'Laughter'], [], ['Music'], ['Music']]"
bus,../audioData/sythenticSoundscenes/test/bus10_downshift_2.wav,"['tubestation', 'park', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music']","[['Speech'], ['Speech'], ['Laughter', 'Music'], ['Speech']]"
bus,../audioData/sythenticSoundscenes/test/bus4_upshift_0.wav,"['tubestation', 'bus', 'park', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music']","[['Speech', 'Music'], ['Speech', 'Music'], ['Speech', 'Music'], ['Speech', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus4_5.wav,"['tubestation', 'tube', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']",['Speech'],"[['Speech'], ['Speech'], ['Speech'], ['Speech', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus3_upshift_4.wav,"['tubestation', 'bus', 'office', 'office', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Car alarm', 'Laughter']","[['Speech', 'Laughter'], ['Car alarm', 'Police car (siren)', 'Speech', 'Emergency vehicle', 'Siren', 'Ambulance (siren)'], ['Speech', 'Car alarm', 'Ambulance (siren)', 'Emergency vehicle'], ['Car alarm', 'Speech', 'Laughter']]"
bus,../audioData/sythenticSoundscenes/test/bus2_downshift_1.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'quietstreet', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing', 'Telephone']","[['Speech', 'Telephone bell ringing', 'Telephone'], ['Speech', 'Telephone bell ringing'], ['Speech'], ['Speech', 'Telephone bell ringing', 'Telephone']]"
bus,../audioData/sythenticSoundscenes/test/bus1_upshift_2.wav,"['tubestation', 'bus', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'tube', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music', 'Telephone bell ringing', 'Telephone']","[['Speech', 'Music', 'Telephone bell ringing'], ['Speech', 'Music'], ['Speech', 'Music'], ['Speech', 'Music', 'Giggle']]"
bus,../audioData/sythenticSoundscenes/test/bus9_9.wav,"['tubestation', 'bus', 'busystreet', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Telephone bell ringing']","[['Speech', 'Telephone bell ringing'], ['Speech', 'Telephone bell ringing'], ['Speech'], ['Speech']]"
bus,../audioData/sythenticSoundscenes/test/bus1_downshift_4.wav,"['tubestation', 'busystreet', 'office', 'bus', 'bus', 'tube', 'bus', 'park', 'park', 'park', 'park', 'bus', 'bus', 'bus', 'bus', 'bus']","['Speech', 'Music']","[['Speech', 'Music'], ['Speech', 'Music'], ['Speech', 'Music', 'Vehicle'], ['Speech', 'Music']]"
bus,../audioData/sythenticSoundscenes/test/bus7_6.wav,"['tubestation', 'bus', 'busystreet', 'park', 'bus', 'bus', 'tube', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus', 'bus']",['Speech'],"[['Speech'], ['Speech'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle']]"
