acoustic_scene_label,audio_fileNames,feat_ablation_preds,scene_events,feat_ablation_events
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6170-a.wav,"['airport', 'metro_station', 'airport', 'shopping_mall', 'public_square', 'shopping_mall', 'public_square', 'metro', 'metro_station', 'tram', 'metro_station', 'metro', 'shopping_mall', 'metro', 'shopping_mall', 'public_square']","['Speech', 'Animal', 'Clip-clop', 'Horse']","[['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Speech'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-barcelona-203-6128-a.wav,"['airport', 'metro', 'airport', 'metro_station', 'public_square', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro_station', 'metro', 'street_pedestrian', 'metro', 'shopping_mall', 'public_square']","['Speech', 'Run', 'Vehicle', 'Animal', 'Clip-clop', 'Outside, urban or manmade', 'Horse']","[['Speech', 'Animal', 'Run', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Run', 'Vehicle', 'Animal', 'Outside, urban or manmade', 'Bicycle'], ['Speech', 'Run', 'Vehicle', 'Outside, urban or manmade', 'Animal'], ['Speech', 'Vehicle', 'Run', 'Outside, urban or manmade', 'Fire'], ['Speech', 'Vehicle', 'Fire', 'Run', 'Animal', 'Clip-clop', 'Bicycle'], ['Speech', 'Vehicle', 'Fire', 'Clip-clop', 'Animal', 'Run', 'Horse'], ['Speech', 'Vehicle', 'Animal', 'Run', 'Clip-clop', 'Fire', 'Horse'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Vehicle', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Run'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run', 'Fire'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Run', 'Fire'], ['Speech', 'Animal', 'Vehicle', 'Clip-clop', 'Run', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run', 'Vehicle'], ['Speech', 'Run', 'Vehicle', 'Animal', 'Clip-clop', 'Outside, urban or manmade', 'Horse']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-stockholm-207-6299-a.wav,"['airport', 'public_square', 'airport', 'public_square', 'airport', 'public_square', 'public_square', 'metro_station', 'metro_station', 'metro_station', 'shopping_mall', 'street_traffic', 'shopping_mall', 'metro_station', 'shopping_mall', 'public_square']","['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep']","[['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep'], ['Speech', 'Animal', 'Goat', 'Baby cry, infant cry'], ['Speech', 'Bleat', 'Animal', 'Sheep', 'Goat'], ['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep'], ['Speech', 'Goat', 'Sheep', 'Animal', 'Bleat'], ['Speech', 'Goat', 'Animal', 'Sheep', 'Bleat', 'Livestock, farm animals, working animals'], ['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep', 'Livestock, farm animals, working animals'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Goat', 'Chatter', 'Sheep', 'Bleat'], ['Speech', 'Bleat', 'Sheep', 'Animal', 'Chatter', 'Goat'], ['Speech', 'Bleat', 'Animal', 'Sheep', 'Goat'], ['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep', 'Livestock, farm animals, working animals'], ['Speech', 'Goat', 'Animal', 'Sheep', 'Bleat', 'Livestock, farm animals, working animals'], ['Speech', 'Animal', 'Goat', 'Bleat', 'Sheep']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-stockholm-207-6288-a.wav,"['airport', 'metro_station', 'airport', 'shopping_mall', 'airport', 'public_square', 'public_square', 'metro_station', 'metro_station', 'metro_station', 'shopping_mall', 'tram', 'shopping_mall', 'metro', 'shopping_mall', 'public_square']","['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat']","[['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Vehicle'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat', 'Livestock, farm animals, working animals'], ['Speech', 'Animal', 'Horse', 'Clip-clop', 'Sheep'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets', 'Meow'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Horse'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat'], ['Speech', 'Animal', 'Sheep', 'Bleat', 'Goat']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-paris-206-6268-a.wav,"['airport', 'metro_station', 'airport', 'shopping_mall', 'public_square', 'metro_station', 'public_square', 'metro', 'metro_station', 'tram', 'metro_station', 'street_pedestrian', 'shopping_mall', 'metro', 'shopping_mall', 'airport']","['Speech', 'Vehicle', 'Boat, Water vehicle']","[['Speech', 'Vehicle', 'Train', 'Rail transport', 'Railroad car, train wagon'], ['Speech', 'Vehicle', 'Boat, Water vehicle', 'Ship'], ['Speech', 'Vehicle', 'Boat, Water vehicle', 'Ship'], ['Speech', 'Vehicle', 'Boat, Water vehicle'], ['Speech', 'Vehicle', 'Boat, Water vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle', 'Boat, Water vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle'], ['Speech', 'Vehicle', 'Boat, Water vehicle']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-london-205-6199-a.wav,"['airport', 'metro', 'airport', 'shopping_mall', 'airport', 'shopping_mall', 'public_square', 'metro', 'metro_station', 'metro', 'metro_station', 'metro', 'public_square', 'metro', 'shopping_mall', 'public_square']","['Animal', 'Speech', 'Cat']","[['Speech', 'Animal'], ['Animal', 'Speech'], ['Animal', 'Speech'], ['Animal', 'Speech', 'Cat'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets'], ['Animal', 'Speech', 'Horse', 'Clip-clop'], ['Animal', 'Speech', 'Horse'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets', 'Meow'], ['Animal', 'Speech'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets', 'Horse', 'Meow'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets', 'Meow'], ['Animal', 'Cat', 'Meow', 'Domestic animals, pets', 'Speech'], ['Animal', 'Speech', 'Cat', 'Domestic animals, pets', 'Meow'], ['Animal', 'Speech']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6168-a.wav,"['airport', 'metro_station', 'airport', 'shopping_mall', 'public_square', 'metro_station', 'metro_station', 'metro', 'metro_station', 'tram', 'metro_station', 'tram', 'shopping_mall', 'metro', 'shopping_mall', 'public_square']","['Speech', 'Animal']","[['Speech', 'Animal', 'Vehicle'], ['Speech', 'Vehicle', 'Animal'], ['Speech', 'Vehicle', 'Animal'], ['Speech', 'Vehicle', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6162-a.wav,"['airport', 'metro', 'airport', 'shopping_mall', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro_station', 'tram', 'metro_station', 'metro', 'street_pedestrian', 'metro', 'shopping_mall', 'airport']","['Speech', 'Clip-clop', 'Animal', 'Horse']","[['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-stockholm-208-6343-a.wav,"['airport', 'metro_station', 'airport', 'metro_station', 'airport', 'public_square', 'public_square', 'metro_station', 'metro_station', 'tram', 'metro_station', 'metro', 'shopping_mall', 'metro', 'shopping_mall', 'public_square']","['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink']","[['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink', 'Run'], ['Speech', 'Clip-clop', 'Chink, clink', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Neigh, whinny'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink'], ['Speech', 'Clip-clop', 'Horse', 'Chink, clink', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Ping', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink', 'Ping'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Chink, clink']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-barcelona-203-6130-a.wav,"['airport', 'metro', 'airport', 'metro_station', 'public_square', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'tram', 'metro_station', 'tram', 'street_pedestrian', 'metro_station', 'airport', 'public_square']","['Speech', 'Animal', 'Arrow', 'Clip-clop']","[['Speech', 'Animal', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Arrow', 'Animal'], ['Speech', 'Arrow', 'Whip', 'Animal'], ['Speech', 'Arrow', 'Whip'], ['Speech', 'Whip', 'Arrow'], ['Speech', 'Animal', 'Arrow'], ['Speech', 'Animal', 'Arrow']]"
