acoustic_scene_label,audio_fileNames,feat_ablation_preds,scene_events,feat_ablation_events
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6156-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'public_square', 'metro_station', 'metro_station', 'street_traffic']",['Speech'],"[['Speech', 'Squish', 'Drip'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Vehicle'], ['Speech'], ['Speech'], ['Speech'], ['Speech'], ['Speech'], ['Speech'], ['Speech', 'Squish'], ['Speech', 'Squish'], ['Speech'], ['Speech', 'Animal'], ['Speech'], ['Speech'], ['Speech']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-barcelona-203-6127-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'street_pedestrian', 'public_square', 'metro_station', 'metro_station', 'metro_station']","['Speech', 'Run', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse']","[['Speech', 'Animal', 'Horse', 'Clip-clop', 'Run', 'Outside, urban or manmade', 'Outside, rural or natural'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Clip-clop'], ['Speech', 'Run', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Clip-clop'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run', 'Outside, urban or manmade', 'Vehicle'], ['Speech', 'Run', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Horse', 'Clip-clop'], ['Speech', 'Run', 'Outside, urban or manmade', 'Animal', 'Vehicle'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Run'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Horse', 'Clip-clop'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Run', 'Outside, urban or manmade', 'Vehicle', 'Clip-clop'], ['Speech', 'Animal', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Horse'], ['Speech', 'Run', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-london-205-6226-a.wav,"['metro_station', 'park', 'park', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'street_pedestrian', 'public_square', 'metro_station', 'metro_station', 'public_square']","['Vehicle', 'Clip-clop', 'Animal']","[['Patter', 'Rodents, rats, mice', 'Vehicle'], ['Vehicle', 'Clip-clop', 'Animal', 'Horse', 'Bicycle'], ['Vehicle', 'Bicycle', 'Clip-clop'], ['Vehicle'], ['Vehicle', 'Clip-clop', 'Horse', 'Animal'], ['Vehicle', 'Bicycle'], ['Vehicle', 'Animal', 'Patter'], ['Vehicle', 'Patter'], ['Vehicle', 'Patter', 'Animal'], ['Patter', 'Animal', 'Vehicle', 'Clip-clop', 'Horse'], ['Patter', 'Vehicle', 'Animal'], ['Patter', 'Vehicle', 'Squish'], ['Patter', 'Vehicle'], ['Vehicle', 'Patter', 'Rodents, rats, mice'], ['Vehicle', 'Patter', 'Animal', 'Rodents, rats, mice'], ['Vehicle', 'Clip-clop', 'Animal']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-london-205-6215-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'street_traffic', 'metro_station', 'metro_station', 'metro_station']","['Speech', 'Animal']","[['Speech', 'Mouse', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Animal'], ['Speech', 'Mouse', 'Animal'], ['Speech', 'Mouse', 'Animal'], ['Speech', 'Mouse', 'Animal'], ['Speech', 'Animal', 'Mouse'], ['Speech', 'Animal']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-london-205-6207-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'public_square', 'metro_station', 'metro_station', 'street_traffic']","['Speech', 'Animal', 'Clip-clop', 'Horse']","[['Speech', 'Animal'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Vehicle', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Vehicle'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Patter'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Speech', 'Animal', 'Clip-clop', 'Horse', 'Patter'], ['Speech', 'Clip-clop', 'Animal', 'Horse']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6167-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station']","['Speech', 'Clip-clop', 'Horse', 'Animal']","[['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle'], ['Speech', 'Animal', 'Duck', 'Fowl', 'Honk', 'Quack', 'Goose'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Outside, urban or manmade'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Vehicle'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Animal', 'Horse'], ['Speech', 'Clip-clop', 'Horse', 'Animal']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-helsinki-204-6152-a.wav,"['metro_station', 'metro', 'metro', 'metro_station', 'metro', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'public_square', 'metro_station', 'metro_station', 'street_traffic']","['Speech', 'Patter', 'Bird']","[['Patter', 'Speech', 'Sliding door', 'Rodents, rats, mice'], ['Speech', 'Animal', 'Clip-clop', 'Horse'], ['Vehicle', 'Speech'], ['Patter', 'Vehicle'], ['Speech', 'Vehicle', 'Patter'], ['Patter', 'Speech'], ['Patter'], ['Patter', 'Speech'], ['Bird', 'Pigeon, dove', 'Speech', 'Patter', 'Vehicle'], ['Speech'], ['Patter', 'Speech', 'Bird', 'Pigeon, dove'], ['Patter', 'Bird', 'Speech', 'Rodents, rats, mice'], ['Bird', 'Speech', 'Pigeon, dove', 'Patter'], ['Patter', 'Speech', 'Rodents, rats, mice'], ['Speech', 'Bird', 'Pigeon, dove', 'Patter', 'Animal'], ['Speech', 'Patter', 'Sliding door']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-vienna-209-6350-a.wav,"['metro', 'metro', 'metro', 'metro_station', 'metro_station', 'metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'street_pedestrian', 'public_square', 'metro_station', 'metro_station', 'street_traffic']","['Clip-clop', 'Horse', 'Animal', 'Speech']","[['Clip-clop', 'Horse', 'Animal', 'Speech'], ['Clip-clop', 'Horse', 'Animal', 'Speech', 'Run'], ['Clip-clop', 'Horse', 'Animal', 'Speech'], ['Clip-clop', 'Animal', 'Horse', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Speech', 'Run'], ['Clip-clop', 'Horse', 'Animal', 'Speech', 'Run'], ['Clip-clop', 'Horse', 'Animal', 'Speech', 'Patter'], ['Animal', 'Clip-clop', 'Horse', 'Speech', 'Patter'], ['Clip-clop', 'Animal', 'Horse', 'Speech', 'Patter'], ['Clip-clop', 'Animal', 'Horse', 'Speech', 'Patter'], ['Animal', 'Clip-clop', 'Horse', 'Speech', 'Patter'], ['Clip-clop', 'Animal', 'Horse', 'Speech', 'Tick-tock', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Speech', 'Tick-tock'], ['Clip-clop', 'Animal', 'Horse', 'Speech'], ['Clip-clop', 'Horse', 'Animal', 'Speech'], ['Clip-clop', 'Horse', 'Animal', 'Speech']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-vienna-209-6352-a.wav,"['metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'street_pedestrian', 'tram', 'metro_station', 'metro_station', 'metro']","['Clip-clop', 'Horse', 'Animal']","[['Clip-clop', 'Horse', 'Animal', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Speech'], ['Clip-clop', 'Horse', 'Animal'], ['Clip-clop', 'Horse', 'Animal'], ['Clip-clop', 'Horse', 'Animal'], ['Clip-clop', 'Horse', 'Animal', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Patter'], ['Patter', 'Clip-clop', 'Animal', 'Horse'], ['Animal', 'Clip-clop', 'Horse', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Patter'], ['Animal', 'Patter', 'Clip-clop', 'Horse'], ['Animal', 'Clip-clop', 'Horse', 'Patter'], ['Clip-clop', 'Animal', 'Horse', 'Patter'], ['Animal', 'Clip-clop', 'Horse', 'Patter'], ['Clip-clop', 'Horse', 'Animal', 'Patter'], ['Clip-clop', 'Horse', 'Animal']]"
airport,/work/dpandya/giggityGit/audioData/TUTUrban2018/developmentDataset/TUT-urban-acoustic-scenes-2018-development/audio/airport-vienna-209-6362-a.wav,"['metro_station', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro', 'metro_station', 'metro_station', 'metro_station', 'metro_station', 'metro_station']","['Speech', 'Clip-clop', 'Typing', 'Computer keyboard', 'Horse']","[['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run'], ['Speech', 'Clip-clop', 'Horse', 'Animal', 'Vehicle'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop', 'Horse'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop', 'Clicking'], ['Speech', 'Computer keyboard', 'Typing', 'Clicking'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop'], ['Speech', 'Clip-clop', 'Horse', 'Animal'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop', 'Animal'], ['Speech', 'Typing', 'Computer keyboard', 'Clip-clop'], ['Speech', 'Typing', 'Computer keyboard', 'Clicking'], ['Speech', 'Clicking'], ['Speech', 'Clip-clop'], ['Speech', 'Clip-clop', 'Typing', 'Computer keyboard', 'Horse']]"
